year,work total,teaching,lesson prep,counselling contact,prof consultation,school supervision,class administration,school policy,formation
male,46.6,15.9,14.9,1,4.2,1.3,5.3,1.3,1.4
female,43.4,15.3,13.3,1.1,3.8,1.5,5.9,1.3,1.1
